"PID","MS.SubClass","Lot.Frontage","Lot.Area","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Mas.Vnr.Area","BsmtFin.SF.1","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","TotRms.AbvGrd","Fireplaces","Garage.Yr.Blt","Garage.Cars","Garage.Area","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Misc.Val","Mo.Sold","Yr.Sold","SalePrice"
526301100,20,141,31770,6,5,1960,1960,112,639,0,441,1080,1656,0,0,1656,1,0,1,0,3,1,7,2,1960,2,528,210,62,0,0,0,0,0,5,2010,215000
526351010,20,81,14267,6,6,1958,1958,108,923,0,406,1329,1329,0,0,1329,0,0,1,1,3,1,6,0,1958,1,312,393,36,0,0,0,0,12500,6,2010,172000
526353030,20,93,11160,7,5,1968,1968,0,1065,0,1045,2110,2110,0,0,2110,1,0,2,1,3,1,8,2,1968,2,522,0,0,0,0,0,0,0,4,2010,244000
527105010,60,74,13830,5,5,1997,1998,0,791,0,137,928,928,701,0,1629,0,0,2,1,3,1,6,1,1997,2,482,212,34,0,0,0,0,0,3,2010,189900
527105030,60,78,9978,6,6,1998,1998,20,602,0,324,926,926,678,0,1604,0,0,2,1,3,1,7,1,1998,2,470,360,36,0,0,0,0,0,6,2010,195500
527127150,120,41,4920,8,5,2001,2001,0,616,0,722,1338,1338,0,0,1338,1,0,2,0,2,1,6,0,2001,2,582,0,0,170,0,0,0,0,4,2010,213500
527163010,60,75,10000,6,5,1993,1994,0,0,0,763,763,763,892,0,1655,0,0,2,1,3,1,7,1,1993,2,440,157,84,0,0,0,0,0,4,2010,175900
527165230,20,68,7980,6,7,1992,2007,0,935,0,233,1168,1187,0,0,1187,1,0,2,0,3,1,6,0,1992,2,420,483,21,0,0,0,0,500,3,2010,185000
527180040,20,85,10176,7,5,1990,1990,0,637,0,663,1300,1341,0,0,1341,1,0,1,1,2,1,5,1,1990,2,506,192,0,0,0,0,0,0,2,2010,171500
527225035,50,152,12134,8,7,1988,2005,0,427,0,132,559,1080,672,0,1752,0,0,2,0,4,1,8,0,1988,2,492,325,12,0,0,0,0,0,6,2010,164000
527276150,20,140,19138,4,5,1951,1951,0,120,0,744,864,864,0,0,864,0,0,1,0,2,1,4,0,1951,2,400,0,0,0,0,0,0,0,6,2010,141000
527302110,20,85,13175,6,6,1978,1988,119,790,163,589,1542,2073,0,0,2073,1,0,2,0,3,1,7,2,1978,2,500,349,0,0,0,0,0,0,2,2010,210000
527358140,20,105,11751,6,6,1977,1977,480,705,0,1139,1844,1844,0,0,1844,0,0,2,0,3,1,7,1,1977,2,546,0,122,0,0,0,0,0,1,2010,190000
527402250,20,68,12537,5,6,1971,2008,0,734,0,344,1078,1078,0,0,1078,1,0,1,1,3,1,6,1,1971,2,500,0,0,0,0,0,0,0,4,2010,149900
527404120,20,70,8400,4,5,1970,1970,0,804,78,0,882,882,0,0,882,1,0,1,0,2,1,4,0,1970,2,525,240,0,0,0,0,0,0,4,2010,126000
527425090,20,70,10500,4,5,1971,1971,0,432,0,432,864,864,0,0,864,0,0,1,0,3,1,5,1,1979,0,0,0,0,0,0,0,0,0,4,2010,115000
527427230,120,26,5858,7,5,1999,1999,0,1051,0,354,1405,1337,0,0,1337,1,0,2,0,2,1,5,1,1999,2,511,203,68,0,0,0,0,0,6,2010,184000
527451330,160,21,1680,5,5,1971,1971,492,300,0,225,525,525,567,0,1092,0,0,1,1,3,1,6,0,1997,1,320,0,0,0,0,0,0,0,3,2010,105500
527451410,160,21,1680,6,5,1971,1971,381,0,0,525,525,525,567,0,1092,0,0,1,1,3,1,6,0,1971,1,264,0,0,0,0,0,0,0,3,2010,88000
527452190,120,53,4043,6,5,1977,1977,0,360,0,709,1069,1069,0,0,1069,0,0,2,0,2,1,4,1,1977,2,440,0,55,0,0,165,0,0,7,2010,127500
527453150,120,24,2280,7,6,1975,1975,0,0,0,836,836,836,0,0,836,0,0,1,0,2,1,4,0,1975,1,308,0,30,0,0,0,0,0,6,2010,120000
527454200,160,24,2280,6,5,1978,1978,0,311,0,544,855,855,601,0,1456,0,0,2,1,3,1,7,1,1978,2,440,26,0,0,0,0,0,0,7,2010,146000
528112020,20,98,11478,8,5,2007,2008,200,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,2008,3,772,0,50,0,0,0,0,0,5,2010,306000
528120060,20,83,10159,9,5,2009,2010,450,1646,0,284,1930,1940,0,0,1940,1,0,2,1,3,1,8,1,2010,3,606,168,95,0,0,0,0,0,4,2010,395192
528120100,20,95,12182,7,5,2005,2005,226,1201,0,340,1541,1541,0,0,1541,0,0,2,0,3,1,7,1,2005,2,532,0,70,0,0,0,0,0,5,2010,220000
528120120,20,90,11520,9,5,2005,2005,615,110,0,1588,1698,1698,0,0,1698,0,0,2,0,3,1,7,1,2005,3,730,192,74,0,0,0,0,0,6,2010,275000
528138020,20,79,14122,8,5,2005,2006,240,28,0,1794,1822,1822,0,0,1822,0,0,2,0,3,1,8,1,2005,3,678,0,119,0,0,0,0,0,2,2010,259000
528138060,20,70,10171,7,5,2004,2004,168,2,0,1515,1517,1535,0,0,1535,0,0,2,0,3,1,7,0,2004,2,532,0,0,0,0,0,0,0,3,2010,214000
528175010,120,44,6371,7,5,2009,2010,128,733,0,625,1358,1358,0,0,1358,1,0,2,0,2,1,6,1,2010,2,484,192,35,0,0,0,0,0,6,2010,224000
