"","iter","timetrain","mmce","g","method"
"1",1,0.565999999999804,0.03,10,"1vs1"
"2",2,0.397999999999683,0.05,10,"1vs1"
"3",3,0.400000000000091,0.055,10,"1vs1"
"4",4,0.413000000000011,0.045,10,"1vs1"
"5",5,0.416000000000167,0.05,10,"1vs1"
"6",6,0.391999999999825,0.06,10,"1vs1"
"7",7,0.396000000000186,0.04,10,"1vs1"
"8",8,0.398999999999887,0.065,10,"1vs1"
"9",9,0.400000000000091,0.06,10,"1vs1"
"10",10,0.409999999999854,0.03,10,"1vs1"
"11",1,0.231999999999971,0.02,10,"1vsrest"
"12",2,0.24599999999964,0.065,10,"1vsrest"
"13",3,0.246000000000095,0.065,10,"1vsrest"
"14",4,0.244999999999891,0.045,10,"1vsrest"
"15",5,0.221000000000004,0.045,10,"1vsrest"
"16",6,0.260000000000218,0.05,10,"1vsrest"
"17",7,0.210999999999785,0.045,10,"1vsrest"
"18",8,0.253000000000156,0.06,10,"1vsrest"
"19",9,0.215999999999894,0.055,10,"1vsrest"
"20",10,0.244999999999891,0.025,10,"1vsrest"
"21",1,0.608999999999924,0.03,13,"1vs1"
"22",2,0.614999999999782,0.065,13,"1vs1"
"23",3,0.619999999999891,0.015,13,"1vs1"
"24",4,0.602999999999611,0.025,13,"1vs1"
"25",5,0.626999999999953,0.03,13,"1vs1"
"26",6,0.619999999999891,0.065,13,"1vs1"
"27",7,0.621000000000095,0.04,13,"1vs1"
"28",8,0.639000000000124,0.06,13,"1vs1"
"29",9,0.626999999999953,0.04,13,"1vs1"
"30",10,0.65099999999984,0.06,13,"1vs1"
"31",1,0.238000000000284,0.015,13,"1vsrest"
"32",2,0.238000000000284,0.065,13,"1vsrest"
"33",3,0.23700000000008,0.02,13,"1vsrest"
"34",4,0.256000000000313,0.025,13,"1vsrest"
"35",5,0.233000000000175,0.035,13,"1vsrest"
"36",6,0.252999999999702,0.065,13,"1vsrest"
"37",7,0.223999999999705,0.04,13,"1vsrest"
"38",8,0.251999999999953,0.055,13,"1vsrest"
"39",9,0.251999999999953,0.04,13,"1vsrest"
"40",10,0.251000000000204,0.05,13,"1vsrest"
"41",1,0.898999999999887,0.055,16,"1vs1"
"42",2,0.922000000000025,0.035,16,"1vs1"
"43",3,0.898999999999887,0.05,16,"1vs1"
"44",4,0.886999999999716,0.03,16,"1vs1"
"45",5,0.911000000000058,0.05,16,"1vs1"
"46",6,0.894000000000233,0.05,16,"1vs1"
"47",7,0.911999999999807,0.045,16,"1vs1"
"48",8,0.916000000000167,0.025,16,"1vs1"
"49",9,0.92699999999968,0.055,16,"1vs1"
